FL_DATE,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,FL_YEAR,FL_MONTH,FL_DAY
2022-05-03,OH,20397,5433,DCA,"Washington, DC",ALB,"Albany, NY",1010,1018.0,8.0,30.0,1048.0,1149.0,4.0,1152,1153.0,1.0,0.0,Z,0.0,102.0,95.0,61.0,318.0,,,,,,2022,05,03
2022-05-04,OH,20397,5433,DCA,"Washington, DC",ALB,"Albany, NY",1010,1002.0,-8.0,58.0,1100.0,1201.0,2.0,1152,1203.0,11.0,0.0,Z,0.0,102.0,121.0,61.0,318.0,,,,,,2022,05,04
2022-05-01,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",2046,2039.0,-7.0,22.0,2101.0,2158.0,2.0,2227,2200.0,-27.0,0.0,Z,0.0,101.0,81.0,57.0,386.0,,,,,,2022,05,01
2022-05-02,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",2046,2036.0,-10.0,23.0,2059.0,2159.0,5.0,2227,2204.0,-23.0,0.0,Z,0.0,101.0,88.0,60.0,386.0,,,,,,2022,05,02
2022-05-03,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",2046,2035.0,-11.0,36.0,2111.0,2214.0,5.0,2227,2219.0,-8.0,0.0,Z,0.0,101.0,104.0,63.0,386.0,,,,,,2022,05,03
2022-05-04,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",2046,2042.0,-4.0,25.0,2107.0,2204.0,4.0,2227,2208.0,-19.0,0.0,Z,0.0,101.0,86.0,57.0,386.0,,,,,,2022,05,04
2022-05-05,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,1802.0,2.0,12.0,1814.0,1910.0,30.0,1928,1940.0,12.0,0.0,Z,0.0,88.0,98.0,56.0,386.0,,,,,,2022,05,05
2022-05-06,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,,,,,,,1928,,,1.0,B,0.0,88.0,,,386.0,,,,,,2022,05,06
2022-05-07,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,1754.0,-6.0,19.0,1813.0,1908.0,3.0,1928,1911.0,-17.0,0.0,Z,0.0,88.0,77.0,55.0,386.0,,,,,,2022,05,07
2022-05-08,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,1800.0,0.0,18.0,1818.0,1913.0,2.0,1928,1915.0,-13.0,0.0,Z,0.0,88.0,75.0,55.0,386.0,,,,,,2022,05,08
2022-05-09,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,1750.0,-10.0,20.0,1810.0,1907.0,5.0,1928,1912.0,-16.0,0.0,Z,0.0,88.0,82.0,57.0,386.0,,,,,,2022,05,09
2022-05-10,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,1753.0,-7.0,23.0,1816.0,1912.0,12.0,1928,1924.0,-4.0,0.0,Z,0.0,88.0,91.0,56.0,386.0,,,,,,2022,05,10
2022-05-11,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,1758.0,-2.0,19.0,1817.0,1910.0,5.0,1928,1915.0,-13.0,0.0,Z,0.0,88.0,77.0,53.0,386.0,,,,,,2022,05,11
2022-05-12,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,1756.0,-4.0,51.0,1847.0,1958.0,3.0,1928,2001.0,33.0,0.0,Z,0.0,88.0,125.0,71.0,386.0,0.0,0.0,33.0,0.0,0.0,2022,05,12
2022-05-13,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,1812.0,12.0,21.0,1833.0,1936.0,4.0,1928,1940.0,12.0,0.0,Z,0.0,88.0,88.0,63.0,386.0,,,,,,2022,05,13
2022-05-14,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,1755.0,-5.0,27.0,1822.0,1920.0,5.0,1928,1925.0,-3.0,0.0,Z,0.0,88.0,90.0,58.0,386.0,,,,,,2022,05,14
2022-05-16,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,1815.0,15.0,21.0,1836.0,1937.0,2.0,1928,1939.0,11.0,0.0,Z,0.0,88.0,84.0,61.0,386.0,,,,,,2022,05,16
2022-05-17,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,1754.0,-6.0,21.0,1815.0,1915.0,3.0,1928,1918.0,-10.0,0.0,Z,0.0,88.0,84.0,60.0,386.0,,,,,,2022,05,17
2022-05-18,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,1751.0,-9.0,21.0,1812.0,1914.0,5.0,1928,1919.0,-9.0,0.0,Z,0.0,88.0,88.0,62.0,386.0,,,,,,2022,05,18
2022-05-19,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,1757.0,-3.0,20.0,1817.0,1916.0,4.0,1928,1920.0,-8.0,0.0,Z,0.0,88.0,83.0,59.0,386.0,,,,,,2022,05,19
2022-05-21,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,1928.0,88.0,12.0,1940.0,2043.0,3.0,1928,2046.0,78.0,0.0,Z,0.0,88.0,78.0,63.0,386.0,0.0,54.0,0.0,0.0,24.0,2022,05,21
2022-05-22,OH,20397,5434,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",1800,1756.0,-4.0,13.0,1809.0,1916.0,4.0,1928,1920.0,-8.0,0.0,Z,0.0,88.0,84.0,67.0,386.0,,,,,,2022,05,22
